date,equal_weight,inverse_volatility,offline_fixture
2023-03-27,102.92805780573347,104.00916508307768,100.60898228955034
2023-03-28,102.97189677088464,104.06293842318078,100.64457807413359
2023-03-29,104.27013514723788,105.35439145217595,101.9241744128299
2023-03-30,104.7376173142978,105.82500723849567,102.38069804278588
2023-03-31,105.9569745062022,107.04673719564386,103.57985579306818
2023-04-03,106.85975661474549,107.93241174185663,104.48743173334073
2023-04-04,106.01043874028841,107.11296400413579,103.6317783847108
2023-04-05,106.442766195905,107.58296283587353,103.97114455429335
2023-04-06,106.54436724928823,107.69698591712208,104.0895239657369
2023-04-10,107.0033267340784,108.12611852166005,104.53136809792693
2023-04-11,107.36181666631695,108.48561773530585,104.85767716903325
2023-04-12,107.09651099035872,108.24776889579942,104.55412425315527
2023-04-13,107.87949038703889,109.02206374050067,105.39315653206975
2023-04-14,107.49238974456044,108.60324029503388,105.05744103581999
2023-04-17,107.75695942175682,108.883873492188,105.29302568931196
2023-04-18,107.78925367825472,108.8993093796261,105.34942169334167
2023-04-19,107.2842606605142,108.39938049476888,104.89041766499909
2023-04-20,106.8916670465694,108.01345904677277,104.56434387681497
2023-04-21,106.86036385553666,108.00490417056668,104.50941846268807
2023-04-24,107.1324167165854,108.28102125901268,104.76132282020454
2023-04-25,105.83397509085145,107.01305933518101,103.40512295823822
2023-04-26,104.61386903182186,105.76041041795418,102.277449644267
2023-04-27,106.15398330829386,107.28299708825259,103.9281565502609
2023-04-28,107.13742116094434,108.24871048036977,104.91672105460573
2023-05-01,107.26892936231262,108.39361126289019,105.05449096640005
2023-05-02,105.77361645510537,106.91451216205476,103.59379352394409
2023-05-03,105.14561060385854,106.29476340763912,102.96715906212032
2023-05-04,104.14986911788661,105.32253654123667,101.95270720297773
2023-05-05,105.85576468024276,107.01513638254707,103.63157013233712
2023-05-08,105.75202793541781,106.90205648475185,103.55195307256129
2023-05-09,105.43578291227703,106.59281862539036,103.22109261705688
2023-05-10,105.54235160619162,106.71390754273529,103.40428964434159
2023-05-11,105.18070110450566,106.34693360438976,103.09933923423245
2023-05-12,105.22918550060432,106.40162733832861,103.15560390875089
2023-05-15,105.65762750302713,106.79844843106946,103.58101730152403
2023-05-16,104.35355952217083,105.47635678435367,102.38814125808088
2023-05-17,105.4234068582755,106.50448399074742,103.48558273231038
2023-05-18,105.94059919271795,106.98425821096949,104.11180457104666
2023-05-19,105.99179262791456,107.05540646272674,104.1003984584035
2023-05-22,105.90503213194066,106.9462831782192,104.05901083037024
2023-05-23,105.06192803023356,106.09911787839656,103.1442097545117
2023-05-24,104.24988765089748,105.28708489266701,102.3600904249
2023-05-25,104.23040180915325,105.19113669557521,102.68880471953612
2023-05-26,105.04979380956678,105.96370643398984,103.62158872986508
2023-05-30,104.86803860897868,105.76070950300189,103.48250975335479
2023-05-31,104.19322438841081,105.12504280226219,102.75439490641818
2023-06-01,104.95459901150146,105.8660793825125,103.53824196787046
2023-06-02,106.39521593931217,107.2871248081986,104.97393519353373
2023-06-05,105.99422955112476,106.90755210788693,104.55574284405277
2023-06-06,106.23892160729865,107.08315060615276,104.7972992283083
2023-06-07,106.36019140874622,107.1728046360322,104.76910123723158
2023-06-08,106.86731896179607,107.71652496786892,105.2584093034967
2023-06-09,106.91584336938426,107.76976442053687,105.32585988791925
2023-06-12,107.93413587570544,108.77770317055803,106.37083603631798
2023-06-13,108.69620681032018,109.51743889893697,107.10508266496473
2023-06-14,108.88431906337621,109.7273875595221,107.3539549250435
2023-06-15,110.17728773040216,111.03872032785719,108.62704534461257
2023-06-16,109.96689847133537,110.81975017162506,108.4091754458177
2023-06-20,109.16107515300305,110.01927560993344,107.6776567441186
2023-06-21,108.79351112265577,109.6763046577401,107.32602387139163
2023-06-22,108.88024794566053,109.77314444262595,107.45278677435263
2023-06-23,108.0627269399481,108.94422651757081,106.6715412736099
2023-06-26,107.94259857795292,108.826887716978,106.46173450733497
2023-06-27,109.2444589133204,110.11160809429623,107.7774733728979
2023-06-28,108.98101703130939,109.82988083136549,107.51935158012107
2023-06-29,109.53138904440434,110.3921416332656,108.0492721820273
2023-06-30,110.63419279315983,111.51951674532467,109.15770366566159
2023-07-03,110.67625288178992,111.52970223566231,109.16173180439493
2023-07-05,110.36681385074051,111.22616876619358,108.89812084409589
2023-07-06,109.43569874180531,110.30204528402848,107.99160065155013
2023-07-07,109.10081698451097,109.93917516634927,107.62686708256334
2023-07-10,109.89633829374797,110.73948117987244,108.39397172321846
2023-07-11,110.70249521492963,111.52184391581525,109.17595850970335
2023-07-12,111.3534401109723,112.17487664694713,109.89058442715337
2023-07-13,111.94092306592317,112.72682036787486,110.56323920945803
2023-07-14,111.58151157892065,112.39657241621616,110.29098569955161
2023-07-17,111.91599684949362,112.73066547960224,110.679727656252
2023-07-18,112.59011593502922,113.38861293532048,111.33483731320382
2023-07-19,112.90750144216936,113.690405248457,111.59013235736306
2023-07-20,112.57727561085102,113.39954928178156,111.16585419448667
2023-07-21,112.74643662224157,113.58250710215327,111.31877841820886
2023-07-24,113.02042258342789,113.82843122231426,111.63384586147747
2023-07-25,113.43370361727808,114.2501662505862,112.09934792409422
2023-07-26,113.27154490034839,114.04620881783087,111.9632848322749
2023-07-27,112.77676158321839,113.53288867255247,111.47238052125167
2023-07-28,113.45507662561869,114.20161187196254,112.2037391872437
2023-07-31,113.57492562547891,114.31291000401532,112.30479644110734
2023-08-01,113.44175976683646,114.17681267193821,112.19958142091602
2023-08-02,112.15403582748819,112.92556620798965,110.83118709224574
2023-08-03,111.88864080483441,112.65900239377869,110.57950988016742
2023-08-04,111.56549471762479,112.32737094025373,110.2003792410261
2023-08-07,112.7565009117462,113.52784787333691,111.38803657114963
2023-08-08,112.42675765803739,113.2057579430018,111.0389554884755
2023-08-09,111.87426703682249,112.67902003705578,110.46392926053623
2023-08-10,111.7165653227308,112.5389400356608,110.31349834256974
2023-08-11,111.5928130207522,112.43962898567813,110.12901158209449
2023-08-14,112.30867198775692,113.14647890862324,110.93109237001264
2023-08-15,111.23499609759845,112.0953342987219,109.88596493075815
2023-08-16,110.40851846640469,111.2835018244748,109.10056321734864
2023-08-17,109.49305649419833,110.34464723247032,108.23352900464891
2023-08-18,109.78756076978051,110.63976094332148,108.48899658320444
2023-08-21,110.4156139337591,111.25378398756035,109.1943499200415
2023-08-22,109.96969659361353,110.8189531343669,108.74533477937472
2023-08-23,110.9840778179097,111.83858115999575,109.77881792758629
2023-08-24,109.65241261785822,110.51089282891843,108.42855344838128
2023-08-25,110.23955947168623,111.11601729278664,109.0229860842624
2023-08-28,111.00277225594397,111.87059195502587,109.77116066849767
2023-08-29,112.44061459850792,113.29749969550136,111.23909265133352
2023-08-30,112.67368260600638,113.53175658679821,111.48923893430373
2023-08-31,112.53030544731936,113.35496562362397,111.3806062176042
2023-09-01,112.86747813471882,113.67054725060257,111.69868186331156
2023-09-05,112.06729308945118,112.87374551564359,110.93881247698003
2023-09-06,111.6376961724624,112.4526176699372,110.45154793392422
2023-09-07,111.43734742131673,112.290605663989,110.2081644064638
2023-09-08,111.67395699804676,112.53457118020091,110.39389224535655
2023-09-11,112.05092647553747,112.92918581309364,110.76591406710138
2023-09-12,111.53867727534728,112.39465203851543,110.2244150714801
2023-09-13,111.59235975614514,112.46247044271007,110.30529806887759
2023-09-14,112.5072762355715,113.37996241224828,111.17199619439876
2023-09-15,111.12291762786501,111.99805847341564,109.74011497340885
2023-09-18,111.25327346087533,112.13375516782234,109.90409920622585
2023-09-19,111.17813599398966,112.06923495193698,109.81742001658286
2023-09-20,110.45605910662735,111.38547729513849,109.03622796545766
2023-09-21,108.74445025104002,109.6786227051549,107.27167581770652
2023-09-22,108.71355532190876,109.65529218577598,107.27601471955785
2023-09-25,109.02418856775061,109.95692916240937,107.59231527340093
2023-09-26,107.66788417170613,108.60087290433185,106.2375460617612
2023-09-27,107.7635894917475,108.66684069460248,106.36308700590345
2023-09-28,108.38025065615435,109.26428183981187,107.00222943852489
2023-09-29,108.0354919609281,108.89006991293944,106.69234788463885
2023-10-02,107.68602250906687,108.52352777874185,106.46702472277795
2023-10-03,106.45707158048648,107.310740635753,105.2274299621336
2023-10-04,107.0491403081781,107.92171093907876,105.86013311963823
2023-10-05,106.94261377045719,107.80248866421488,105.7855412132304
2023-10-06,108.07411245336996,108.92358867490867,106.98029150741654
2023-10-09,108.8804125330164,109.73537761268483,107.78404181023983
2023-10-10,109.44993129369065,110.30559942756504,108.31992684366509
2023-10-11,109.88552434011957,110.72012780685321,108.81918921980908
2023-10-12,109.10084639443554,109.92737740290204,108.13246720378544
2023-10-13,108.70907767639585,109.575020782573,107.70332672059604
2023-10-16,109.89478883991384,110.75923380695014,108.88131558922976
2023-10-17,109.91316221611197,110.77200949994884,108.86039113023722
2023-10-18,108.64356151728357,109.52377344069765,107.57575302808468
2023-10-19,107.64966264812965,108.52051559918937,106.57042983249889
2023-10-20,106.60005890133289,107.47598504611682,105.50493484873095
2023-10-23,106.24440858937884,107.12194305046205,105.21235088826089
2023-10-24,107.13478177145018,108.02006065202087,106.07132144001383
2023-10-25,105.95908930764686,106.89482136412693,104.80454479039314
2023-10-26,104.90153776746104,105.86048899518207,103.62154384769443
2023-10-27,104.25007330937163,105.17374631186489,103.03213007524167
2023-10-30,105.29356491810867,106.22426069014156,104.11536214678544
2023-10-31,105.98394840039532,106.91846857180576,104.75490185132844
2023-11-01,107.06600323885044,107.99805786480295,105.82671354694581
2023-11-02,108.97471730765953,109.88210563963129,107.7651915406523
2023-11-03,110.18751634556331,111.07382498158844,108.90975068763399
2023-11-06,110.32610032927887,111.22732418176707,109.09516437065858
2023-11-07,110.42475606151392,111.30863620863178,109.2699797072085
2023-11-08,110.40225060335295,111.3086610663255,109.3199477663442
2023-11-09,109.57045412924468,110.47143937859546,108.52023186288005
2023-11-10,111.13258519242127,112.00085115164336,110.11043567363448
2023-11-13,111.07126344276556,111.96080375205585,110.02483501255756
2023-11-14,113.07587931362069,113.91207303012706,112.00364540957487
2023-11-15,113.07728080634887,113.88738175836725,111.98378417028783
2023-11-16,112.98185279980888,113.81613022908275,111.89541666947505
2023-11-17,113.26868969246928,114.08628789017126,112.13513883189124
2023-11-20,114.01776286212313,114.8203027376009,112.91139367943407
2023-11-21,113.73864849205003,114.58897812012006,112.64873015125261
2023-11-22,114.19462343066081,115.06971756391178,113.07544421449623
2023-11-24,114.40244062010908,115.28527802150876,113.23977357778672
2023-11-27,114.06235241985672,114.94508328247872,112.90308567948006
2023-11-28,113.87504003766603,114.75454876424709,112.73883876843793
2023-11-29,114.03978072196897,114.89064643213125,112.8578097024212
2023-11-30,114.59684425083044,115.48431098649917,113.37736225315984
2023-12-01,115.35361241641833,116.23569789452236,114.1112785721517
2023-12-04,114.81202487233267,115.71858851990905,113.56688568326297
2023-12-05,114.57889071220703,115.47414669061976,113.37112755480774
2023-12-06,114.13511862575443,115.04340256349062,112.95399923401727
2023-12-07,115.04239032792871,115.89724508797497,113.84407842957134
2023-12-08,115.62284691916268,116.43229245305957,114.42083655430238
2023-12-11,116.78351945678024,117.60371087553487,115.53719444037387
2023-12-12,117.29601388004565,118.13088861426516,116.1228901996929
2023-12-13,118.6515465446759,119.49580452079849,117.46420860709273
2023-12-14,118.84390691184542,119.54077507943913,117.60036292705804
2023-12-15,118.5974867899771,119.26713713321541,117.38444351166098
2023-12-18,119.25372144660363,119.94624604733417,118.06781386328208
2023-12-19,119.92190185063879,120.57862320477054,118.70435076110235
2023-12-20,118.10385010891333,118.76376752336608,116.95569137232066
2023-12-21,119.32739588896689,119.97014743156993,118.13208146280914
2023-12-22,119.5989547707358,120.26467009938546,118.31311716337599
2023-12-26,120.27558879791792,120.90966719269068,118.95505466346974
2023-12-27,120.48160552098156,121.11984258838683,119.1632569855722
2023-12-28,120.52278861221002,121.17322293364933,119.18891178465269
2023-12-29,120.26279367813369,120.95127162469572,118.92504687998982
2024-01-02,119.6482166731239,120.39492809465153,118.26594700840104
2024-01-03,118.83432710813987,119.62826011532988,117.47014029414963
2024-01-04,118.44035936098496,119.25048290173626,117.07601691081267
2024-01-05,118.64101998990088,119.40902751902925,117.25574473828334
2024-01-08,120.31065641226795,121.0357732035884,118.92255983335318
2024-01-09,120.10050683886743,120.8370264092178,118.73856624387165
2024-01-10,120.58926150587418,121.32774489668516,119.26754933147107
2024-01-11,120.65857413153404,121.39416135791771,119.38065505222139
2024-01-12,120.85981992299554,121.63834310588553,119.59809048104465
2024-01-16,120.56212021179203,121.34260080334563,119.2590455148998
2024-01-17,119.9486577229763,120.7619529976038,118.67840417953938
2024-01-18,120.86481952687791,121.66967914866794,119.64576675686831
2024-01-19,122.59525651157014,123.34395730818399,121.36388793823605
2024-01-22,122.95491806674079,123.6914456320204,121.73411859671944
2024-01-23,123.1545188755425,123.91664192247758,121.83689849113259
2024-01-24,123.30118572338657,124.01792780243832,121.99660177301736
2024-01-25,124.16594049686098,124.8563009624474,122.75166033523467
2024-01-26,123.6673510083867,124.41670932546243,122.29909806613253
2024-01-29,124.51205449476521,125.23294051026804,123.19051559844964
2024-01-30,124.7027621440508,125.43512570154786,123.34131915488622
2024-01-31,123.04952932566493,123.80539338549738,121.67290950856507
2024-02-01,124.57052732033307,125.33412851832108,123.15857363155514
2024-02-02,125.5510578414501,126.1928150666206,124.40684317220207
2024-02-05,125.15586521075501,125.76794925559784,124.11807837745638
2024-02-06,125.2709087307533,125.89456431819366,124.18525946282674
2024-02-07,126.3473322155213,126.9328419088668,125.38526932469587
2024-02-08,126.52944095911471,127.08013729524305,125.61275279834007
2024-02-09,127.31287020513534,127.80450206879658,126.47214197133066
2024-02-12,127.43525182023176,127.89356050415603,126.49655871873614
2024-02-13,125.82168306862692,126.34780986797092,124.90950754908155
2024-02-14,127.23125265972558,127.68527950319876,126.39126726393263
2024-02-15,128.03200884954555,128.4925097550291,127.12742928241724
2024-02-16,127.23215477936428,127.73710968213132,126.27063952624039
2024-02-20,126.50984437466744,127.07255441682749,125.44738981971538
2024-02-21,126.43012300108336,127.04023702163249,125.30863719713018
2024-02-22,128.99034558244978,129.50645619494495,128.1460380199201
2024-02-23,129.15612935925336,129.70139924589205,128.2742137968817
2024-02-26,128.95044788906912,129.45786515960214,128.12965320667897
2024-02-27,129.0972879385515,129.59109519860363,128.24952004421712
2024-02-28,128.91094845246744,129.43240859416986,128.04543132031148
2024-02-29,129.5447429979984,129.98326196472402,128.71572958530473
2024-03-01,131.24218431266277,131.5810095474318,130.5136865736017
2024-03-04,131.635887722635,131.934492972663,130.96314476188135
2024-03-05,130.29799690408305,130.65897736417207,129.45284714244463
2024-03-06,131.37523397121748,131.71579624601264,130.55057722330253
2024-03-07,132.6387033985508,132.88966184670156,131.96759011983482
2024-03-08,131.45454198827983,131.82238731054105,130.5556449739997
2024-03-11,131.203638925324,131.66430009335218,130.05686823860927
2024-03-12,132.56805200535356,132.9366647279045,131.66105556635281
2024-03-13,132.26578531624716,132.65409354407282,131.2953855250185
2024-03-14,131.55005435952432,131.97554911427196,130.61019951268696
2024-03-15,130.7075700731295,131.19676727204316,129.60242462008938
2024-03-18,131.30730393567026,131.76385373926124,130.25954207399764
2024-03-19,131.98094796691632,132.45705253775031,130.914331336194
2024-03-20,133.18170798032008,133.56203378557672,132.16632939985442
2024-03-21,134.0069637783828,134.31673187469931,133.07136004898362
2024-03-22,133.58748185792925,133.89621666089403,132.70994850389224
2024-03-25,133.27304694281037,133.56332352819723,132.41427385511207
2024-03-26,133.0160180161303,133.33000468924098,132.11500469105002
2024-03-27,134.16125739616794,134.52552135085145,133.0418886859661
2024-03-28,134.38044875199165,134.76011386441937,133.1772890123273
2024-04-01,134.06009508353833,134.41430444114272,132.92695583169078
2024-04-02,133.1200007612846,133.50103303837653,132.00688346997603
2024-04-03,133.32235520069221,133.6193421440522,132.39278020029025
2024-04-04,131.572735783441,131.95249689409587,130.49603095881673
2024-04-05,132.8466189999278,133.13451105395683,131.96863240393404
2024-04-08,132.69052876701738,132.9926130507888,131.7753592542332
2024-04-09,132.62539261736273,132.95851681811573,131.5564220818123
2024-04-10,131.18011649986119,131.5082971777995,130.3050789571964
2024-04-11,131.78028481663557,131.99382894837078,131.0745810497944
2024-04-12,129.82520306598602,130.11014114642256,129.05028558092056
2024-04-15,128.50799915461894,128.87131963932384,127.56316804374673
2024-04-16,128.45788858382767,128.80146237443608,127.65099207505685
2024-04-17,127.66389423630365,128.12056912649496,126.67246017045079
2024-04-18,127.43929992320949,127.94977384406985,126.33837616572316
2024-04-19,126.47794215177464,127.23599040742525,124.93224508956916
2024-04-22,127.4389692438883,128.15148512061265,125.939795141518
2024-04-23,128.8493518695243,129.42632139199569,127.59154833231695
2024-04-24,128.85215725490215,129.4757833304919,127.4775326628488
2024-04-25,128.36252608545925,129.02163398387344,126.97290420386368
2024-04-26,128.94828111170054,129.4745759522255,127.75648917650834
2024-04-29,129.2823134587271,129.83793554119742,128.02996021609957
2024-04-30,127.48938980352328,128.09839603793446,126.23494233541258
