date,gross_return,transaction_cost,net_return,turnover,weight_VLUE,weight_MTUM,weight_QUAL,weight_USMV
2016-06-30,0.016795240285603752,0.0,0.016795240285603752,0.01003314634566635,0.2429063309597336,0.2531266621583403,0.24706052269459997,0.256906484187326
2016-07-31,0.02931832279491764,0.0,0.02931832279491764,0.004150415091429563,0.25387438528894557,0.24939622725897223,0.2502760298024839,0.24645335764959814
2016-08-31,-0.0060804333003983135,0.0,-0.0060804333003983135,0.005627562234744518,0.2546529924164121,0.24777813477104238,0.2509745698183324,0.24659430299421306
2016-09-30,0.0009866195114600629,0.0,0.0009866195114600629,0.0023648043941080915,0.25137969792073517,0.25098510647337297,0.24949843951765627,0.24813675608823568
2016-10-31,-0.019824600448498764,0.0,-0.019824600448498764,0.0021203131184719254,0.252008840351501,0.2501114727669709,0.2498411377576722,0.24803854912385584
2016-11-30,0.025283474885537505,0.0,0.025283474885537505,0.0122860624888948,0.2611113775117088,0.24238881879846252,0.251174684977186,0.24532511871264268
2016-12-31,0.019005676172045183,0.0,0.019005676172045183,0.0019758437818700597,0.25043778593077937,0.24802415621812998,0.25023215432078216,0.25130590353030857
2017-01-31,0.017092004579070785,0.0,0.017092004579070785,0.003542908261879099,0.24891546704977816,0.2535429082618791,0.24864452627013517,0.24889709841820756
2017-02-28,0.04400653951288391,0.0,0.04400653951288391,0.0014490860538001887,0.2504110612498256,0.24855091394619974,0.2506984841495649,0.2503395406544096
2017-03-31,0.0025727118740686006,0.0,0.0025727118740686006,0.004476267915186238,0.24661222482672582,0.2544762679151863,0.24924632574589264,0.24966518151219536
2017-04-30,0.012045058271345166,0.0,0.012045058271345166,0.003883563090060646,0.24756507253728444,0.2533906766087433,0.24855136437265488,0.2504928864813173
2017-05-31,0.02033771852999533,0.0,0.02033771852999533,0.006692607050123048,0.2447160436473223,0.25669260705012303,0.24866298081329766,0.24992836848925698
2017-06-30,0.0043481837654888444,0.0,0.0043481837654888444,0.0021874072517742843,0.25186369868308434,0.24977738380653755,0.2503237085686899,0.24803520894168812
2017-07-31,0.021264592320774378,0.0,0.021264592320774378,0.0033040428119467113,0.2496524286193082,0.25330404281194674,0.2472961033654059,0.24974742520333923
2017-08-31,0.007270149279316573,0.0,0.007270149279316573,0.0019233158620582391,0.24872485432577185,0.251838381236247,0.24935182981216986,0.25008493462581116
2017-09-30,0.023633934850392446,0.0,0.023633934850392446,0.004510305397616168,0.25271815663780545,0.2510880390750441,0.25070410968476653,0.24548969460238376
2017-10-31,0.03128432659537572,0.0,0.03128432659537572,0.00462816664376467,0.24874940115371313,0.2546281666437647,0.2494869550808281,0.24713547712169412
2017-11-30,0.034091343533691365,0.0,0.034091343533691365,0.0022810624328043066,0.2518136865674268,0.2485177403896135,0.25046737586537754,0.24920119717758224
2017-12-31,0.00831351623519927,0.0,0.00831351623519927,0.003226219556883708,0.2521929819729584,0.24824258524575185,0.25103323758392526,0.2485311951973644
2018-01-31,0.05161388075963158,0.0,0.05161388075963158,0.007277528324759794,0.24810664828033097,0.25727752832475975,0.24859832736065243,0.24601749603425677
2018-02-28,-0.02978762561019055,0.0,-0.02978762561019055,0.004097297694362859,0.24917199177563584,0.2539122899310448,0.2501850077633181,0.24673071053000134
2018-03-31,-0.018208482670658777,0.0,-0.018208482670658777,0.005302840807370479,0.24885267644704087,0.2458444827455887,0.25133436935965886,0.2539684714477117
2018-04-30,-0.0005081834426921006,0.0,-0.0005081834426921006,0.0031389164729436203,0.2511031976184896,0.25137880097386156,0.24686108352705638,0.25065691788059247
2018-05-31,0.022803868330676824,0.0,0.022803868330676824,0.003866669490345906,0.2492648035807625,0.252853024994765,0.2510136444955809,0.24686852692889155
2018-06-30,0.0013887495591888843,0.0,0.0013887495591888843,0.0038867429043255852,0.24699307769095313,0.24947478485098676,0.24964539455373455,0.2538867429043256
