date,equal_weight,inverse_volatility,deepseek_allocation
2021-08-23,105.80673733221468,106.20998116099102,105.69308905535557
2021-08-24,106.1000762814608,106.39997035517848,105.9954150943052
2021-08-25,106.48489442642772,106.70990033897513,106.37055606303792
2021-08-26,105.76161761614149,106.00391502345643,105.61921487063631
2021-08-27,106.7833461618938,106.94789560166028,106.65015124493401
2021-08-30,106.78894521814219,107.02740710925575,106.65071340130115
2021-08-31,106.59300365252645,106.83790908132178,106.46177920747351
2021-09-01,106.5148087669071,106.81714268764063,106.34075551621804
2021-09-02,106.98474616047974,107.27105556964473,106.80641026739039
2021-09-03,106.8720662697394,107.15846363413974,106.66365090351182
2021-09-07,106.19170358062755,106.38538651345709,105.9642373308361
